ID ing. Serial |ID msj   |Serial|Estado|Cod. Operacion|NMU|Cod. Deposito|Errores |Fecha Modifi.|Usuario |
21361047|47995722|101891000043400|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361050|47995722|101891000043401|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361053|47995722|101891000043402|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361054|47995722|101891000043403|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361058|47995722|101891000043404|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361061|47995722|101891000043405|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361064|47995722|101891000043406|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361067|47995722|101891000043407|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361070|47995722|101891000043408|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361072|47995722|101891000043409|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361075|47995722|101891000043410|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361078|47995722|101891000043411|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361083|47995722|101891000043412|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361086|47995722|101891000043413|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361087|47995722|101891000043414|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361089|47995722|101891000043415|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361092|47995722|101891000043416|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361094|47995722|101891000043417|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361097|47995722|101891000043418|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361100|47995722|101891000043419|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361104|47995722|101891000043420|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361105|47995722|101891000043421|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361110|47995722|101891000043422|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361114|47995722|101891000043423|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361119|47995722|101891000043424|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361122|47995722|101891000043425|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361126|47995722|101891000043426|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361129|47995722|101891000043427|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361133|47995722|101891000043428|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361137|47995722|101891000043429|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361140|47995722|101891000043430|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361144|47995722|101891000043431|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361146|47995722|101891000043432|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361149|47995722|101891000043433|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361152|47995722|101891000043434|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361156|47995722|101891000043435|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361160|47995722|101891000043436|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361162|47995722|101891000043437|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361165|47995722|101891000043438|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361168|47995722|101891000043439|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361171|47995722|101891000043440|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361174|47995722|101891000043441|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361177|47995722|101891000043442|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
